"",,,Guaranteed,,,Not Guaranteed,
"",,,at rate of 3.00%,,,at illustrated scale (3.85%),
"",,,Policy Net cash,,Assumed,Policy Net cash,
"",,Premiums,value less surrender,Net death,amount of,value less surrender,Net death
Policy,,you pay,policy debt value,benefit,withdrawal,policy debt value,benefit
year,Age,($),($) ($),($),($),($) ($),($)
*45,114/113,0,0 0,"1,691,620",0,0 0,"1,691,620"
*46,115/114,0,0 0,"1,691,620",0,0 0,"1,691,620"
*47,116/115,0,0 0,"1,691,620",0,0 0,"1,691,620"
*48,117/116,0,0 0,"1,691,620",0,0 0,"1,691,620"
*49,118/117,0,0 0,"1,691,620",0,0 0,"1,691,620"
Total,,0,,,0,,
*50,119/118,0,0 0,"1,691,620",0,0 0,"1,691,620"
*51,120/119,0,0 0,"1,691,620",0,0 0,"1,691,620"
*52,120,0,0 0,"1,691,620",0,0 0,"1,691,620"
